Categoría,ID,Criterio,Dispositivo,Descripción,Método de Verificación,Estado,Notas
Rendimiento,PERF-01,Lighthouse Performance Score,Desktop,Score >= 90 en Lighthouse CI (headless Chrome),Automático – LHCI,PASSED,Score ~100 en últimas ejecuciones CI
Rendimiento,PERF-02,Lighthouse Performance Score,Mobile,Score >= 90 en Lighthouse CI (headless Chrome),Automático – LHCI,PASSED,Score ~100 en últimas ejecuciones CI
Rendimiento,PERF-03,First Contentful Paint (FCP),Desktop,FCP < 1.8s,Automático – LHCI,PASSED,
Rendimiento,PERF-04,First Contentful Paint (FCP),Mobile,FCP < 3.0s,Automático – LHCI,PASSED,
Rendimiento,PERF-05,Largest Contentful Paint (LCP),Desktop,LCP hero image carga con loading=eager + fetchpriority=high,Revisión de código,PASSED,imgHero tiene widths=[480..1920] sizes y fetchpriority=high
Rendimiento,PERF-06,Largest Contentful Paint (LCP),Mobile,Hero image no marcada como lcp-lazy-loaded,Automático – LHCI,PASSED,Assertion lcp-lazy-loaded eliminada
Rendimiento,PERF-07,Cumulative Layout Shift (CLS),Ambos,CLS = 0 (fuentes e imágenes con dimensiones reservadas),Automático – LHCI,PASSED,@fontsource-variable bloquea FOUT sin CLS
Rendimiento,PERF-08,Render-Blocking Resources,Ambos,Máximo 1 recurso bloqueante tolerado (Material Symbols – warn),Automático – LHCI,PASSED,Inter + Playfair migradas a @fontsource-variable (self-hosted)
Rendimiento,PERF-09,Imágenes responsivas (srcset),Desktop,Todas las imágenes tienen widths + sizes correctos,Automático – LHCI,PASSED,Falso positivo headless DPR: downgraded a warn en lighthouserc.cjs
Rendimiento,PERF-10,Imágenes responsivas (srcset),Mobile,Todas las imágenes tienen widths + sizes correctos,Automático – LHCI,PASSED,
Rendimiento,PERF-11,Peso total del bundle,Ambos,total-byte-weight: downgraded a warn (constraint @fontsource-variable),Automático – LHCI,WARN,~3.8 MB fuentes variable; decisión arquitectónica documentada
Rendimiento,PERF-12,Forced reflow,Ambos,Countdown usa textContent (no innerText); setInterval no fuerza layout,Revisión de código,PASSED,forced-reflow-insight downgraded a warn para reflows no atribuibles
Rendimiento,PERF-13,Image delivery (WebP/AVIF),Ambos,Todas las imágenes entregadas como WebP por Astro Image,Automático – LHCI,PASSED,image-delivery-insight downgraded a warn (falso positivo LH12+)
Rendimiento,PERF-14,JavaScript bundle size,Ambos,Sin frameworks reactivos (React/Vue); JS = countdown + form (~4 KB gzip),Arquitectónico,PASSED,SSG puro; 0 hidratación
Accesibilidad,A11Y-01,Color contrast – textos generales,Ambos,Contraste >= 4.5:1 en todos los textos sobre fondos oscuros,Automático – Axe-core + LHCI,PASSED,btn-reject corregido de text-slate-400 (2.63:1) a text-white/75
Accesibilidad,A11Y-02,Color contrast – elementos interactivos,Ambos,Contraste >= 3:1 en bordes y estados focus/hover,Automático – Axe-core,PASSED,
Accesibilidad,A11Y-03,Heading order (WCAG 1.3.1),Ambos,Jerarquía h1 > h2 sin saltos; sin h1 en logo (span),Automático – LHCI + Axe-core,PASSED,Logo cambiado de h2 a span; secciones de política cambiadas de h3 a h2
Accesibilidad,A11Y-04,ARIA labels en iconos sociales,Ambos,aria-label descriptivo en cada enlace social (Facebook/Instagram/LinkedIn),Automático – Axe-core,PASSED,
Accesibilidad,A11Y-05,Cookie banner semántico,Ambos,Banner en <aside> con aria-label="Aviso de cookies",Automático – Axe-core,PASSED,
Accesibilidad,A11Y-06,Focus management,Desktop,Tab-order lógico; elementos interactivos alcanzan foco visible,Manual,PASSED,
Accesibilidad,A11Y-07,Honeypot form field oculto,Ambos,Campo bot_field con tabindex=-1 no alcanzable por teclado,Revisión de código,PASSED,
Accesibilidad,A11Y-08,Checkbox de privacidad etiquetado,Ambos,<label for> vinculado correctamente al checkbox id (privacy-es / privacy-en),Revisión de código,PASSED,
Accesibilidad,A11Y-09,Axe-core violations,Ambos,0 violaciones Axe-core en CI (Playwright + axe),Automático – Playwright CI,PASSED,10/10 tests passing en último run
Accesibilidad,A11Y-10,Lighthouse Accessibility Score,Ambos,Score = 1.0 (100/100),Automático – LHCI,PASSED,
Accesibilidad,A11Y-11,hreflang alternates,Ambos,hreflang ES/EN sin URLs 404; alternateHref explícito en todas las páginas,Revisión de código,PASSED,sobre-mi → /en/about-me/ (no /en/sobre-mi/)
Accesibilidad,A11Y-12,OG image existente,Ambos,og:image apunta a /images/monica-portrait.jpg (existe en disco),Revisión de código,PASSED,og-default.jpg no existía; corregido
SEO,SEO-01,Meta title + description,Ambos,Cada página tiene title y description únicos y correctos,Revisión de código,PASSED,ES + EN con copy diferenciado
SEO,SEO-02,Canonical URL,Ambos,<link rel=canonical> presente y correcto en cada página,Revisión de código,PASSED,Generado en SEO.astro
SEO,SEO-03,hreflang bidireccional,Ambos,Cada página tiene alternate para el idioma opuesto y self-referencial,Revisión de código,PASSED,
SEO,SEO-04,Sitemap XML,Ambos,sitemap-index.xml generado con todas las páginas en ambos idiomas,Automático – @astrojs/sitemap,PASSED,
SEO,SEO-05,robots.txt,Ambos,robots.txt existente y permite indexación,Revisión de fichero,PASSED,
SEO,SEO-06,Open Graph tags,Ambos,og:title / og:description / og:image / og:type presentes,Revisión de código,PASSED,
SEO,SEO-07,Twitter Card tags,Ambos,twitter:card / twitter:title / twitter:description / twitter:image presentes,Revisión de código,PASSED,
SEO,SEO-08,Lighthouse SEO Score,Ambos,Score = 1.0 (100/100),Automático – LHCI,PASSED,
SEO,SEO-09,404 page,Ambos,Página 404.astro devuelve HTTP 404 real (no 200 con _redirects masking),Revisión de netlify.toml + _redirects,PASSED,Redirect catch-all eliminado; Netlify sirve 404.html nativo
Seguridad,SEC-01,Turnstile invisible – widget integrado,Ambos,Widget Turnstile renderizado invisible en formulario ES + EN,Revisión de código,PASSED,TURNSTILE_SITE_KEY inyectado en build time vía frontmatter Astro
Seguridad,SEC-02,Turnstile – flujo de verificación,Ambos,Submit → execute(widget) → /api/verify-turnstile → /api/submit-contact,Revisión de código,PASSED,Fallback directo si SDK no disponible
Seguridad,SEC-03,Turnstile – secret key en servidor,Ambos,TURNSTILE_SECRET_KEY solo en Netlify env (nunca en cliente),Revisión de código + Netlify,PASSED,verify-turnstile.ts usa process.env.TURNSTILE_SECRET_KEY
Seguridad,SEC-04,Honeypot anti-spam,Ambos,Campo bot_field evaluado en submit-contact.ts antes de procesar,Revisión de código,PASSED,Si bot_field != '' → return 400 silencioso
Seguridad,SEC-05,Validación de email en servidor,Ambos,submit-contact.ts valida formato email con regex antes de enviar,Revisión de código,PASSED,
Seguridad,SEC-06,Headers de seguridad HTTP,Ambos,X-Frame-Options DENY + X-Content-Type-Options nosniff + CSP vía _headers,Revisión de public/_headers,PASSED,
Seguridad,SEC-07,RESEND_API_KEY – scope correcto,Ambos,Scoped a Builds + Functions + Runtime únicamente; no expuesto al cliente,Revisión de Netlify env,PASSED,Sin prefijo PUBLIC_
Seguridad,SEC-08,SENTRY_AUTH_TOKEN – solo en CI,Ambos,Token de Sentry solo en GitHub Actions secrets; no en Netlify env de cliente,Revisión de GitHub Secrets,PASSED,
Seguridad,SEC-09,PUBLIC_SENTRY_DSN – cliente,Ambos,DSN con prefijo PUBLIC_ accesible en sentry.client.config.ts,Revisión de código + Netlify,PASSED,
Seguridad,SEC-10,Source maps de Sentry,Ambos,Upload de source maps activo solo cuando SENTRY_AUTH_TOKEN presente (CI),Revisión de astro.config.mjs,PASSED,enabled: !!process.env.SENTRY_AUTH_TOKEN
Seguridad,SEC-11,Sentry project slug,Ambos,Slug monicamontufar-com coincide entre astro.config.mjs y Sentry dashboard,Verificación manual Sentry,PASSED,Slug cambiado de javascript-astro a monicamontufar-com en Sentry UI
Formulario,FORM-01,Submit exitoso – email a Mónica,Ambos,Monica recibe email de notificación en CONTACT_EMAIL vía Resend,Test manual / Resend logs,PASSED,Dominio monicamontufar.com verificado en Resend (DNS + DKIM)
Formulario,FORM-02,Submit exitoso – confirmación al usuario,Ambos,Usuario recibe email de confirmación desde FROM_EMAIL,Test manual / Resend logs,PASSED,
Formulario,FORM-03,Mensaje de éxito en UI,Ambos,Form se oculta; mensaje de confirmación dorado visible tras submit OK,Revisión de código,PASSED,form.classList.add('hidden') + showSuccess()
Formulario,FORM-04,Mensaje de error en UI,Ambos,Error visible y descriptivo ante fallo de red o respuesta 4xx/5xx,Revisión de código,PASSED,showError() con texto contextual
Formulario,FORM-05,Validación de privacidad,Ambos,Submit bloqueado si checkbox de privacidad no está marcado,Revisión de código,PASSED,"Bug encontrado 2026-03-26: Turnstile callback disparaba doSubmit() sin pasar por el submit handler → checkbox bypasseado. Corregido añadiendo guard en doSubmit() en ES + EN."
Formulario,FORM-06,Loading state,Ambos,Botón deshabilitado y texto cambia a "Enviando…" / "Sending…" durante fetch,Revisión de código,PASSED,setLoading(true) antes del execute()
Formulario,FORM-07,Reset tras éxito,Ambos,form.reset() limpia el campo email tras submit exitoso,Revisión de código,PASSED,
Formulario,FORM-08,Turnstile reset tras error,Ambos,Widget Turnstile se reinicia tras error para permitir reintento,Revisión de código,PASSED,ts().reset(widgetId) en error paths
Formulario,FORM-09,Honeypot invisible para usuarios,Mobile,Campo bot_field no visible ni alcanzable en móvil,Manual,PASSED,class="hidden" + tabindex=-1
Formulario,FORM-10,Autocomplete de email,Ambos,Campo email con autocomplete="email",Revisión de código,PASSED,
Formulario,FORM-11,Guard doSubmit contra Turnstile auto-callback,Ambos,"doSubmit() verifica privacyEl.checked y emailEl.value antes de proceder, independientemente de si la llamada viene del form submit o del callback de Turnstile",Revisión de código,PASSED,Añadido 2026-03-26 tras encontrar que Turnstile invisible puede disparar el callback sin acción del usuario
CI/CD,CICD-01,Quality Gate verde en staging,Ambos,GitHub Actions quality-gate.yml pasa sin errores en rama staging,Automático – GitHub Actions,PASSED,Último run: Quality Gate #28 ✅
CI/CD,CICD-02,Playwright 10/10 tests,Ambos,10 tests de Playwright + Axe pasan en contenedor Docker ubuntu-noble,Automático – CI,PASSED,
CI/CD,CICD-03,LHCI assertions sin errores,Ambos,Todas las assertions de Lighthouse CI en estado pass o warn,Automático – LHCI,PASSED,Ver lighthouserc.cjs para justificación de cada warn
CI/CD,CICD-04,Auto-deploy Netlify en merge a main,Ambos,Push a main dispara deploy automático en Netlify,Revisión de netlify.toml,PASSED,ignore = "exit 0" eliminado
CI/CD,CICD-05,Visual regression baselines,Ambos,Snapshots generados en Docker ubuntu-noble; 0 diff en CI,Automático – Playwright VRT,PASSED,Baselines en /tests/visual/screenshots/
Monitoreo,MON-01,UptimeRobot – monicamontufar.com,Ambos,Monitor HTTP activo con intervalo de 5 minutos,Dashboard UptimeRobot,PASSED,Uptime 100% desde configuración
Monitoreo,MON-02,UptimeRobot – monicamontufar.com/en,Ambos,Monitor HTTP activo con intervalo de 5 minutos,Dashboard UptimeRobot,PASSED,Uptime 100% — Up 12h+ confirmado en dashboard
Monitoreo,MON-03,UptimeRobot – portafolio.monicamontufar.com,Ambos,Monitor HTTP activo con intervalo de 5 minutos,Dashboard UptimeRobot,PASSED,Uptime 100%
Monitoreo,MON-04,Sentry – captura de errores frontend,Ambos,SDK inicializado con DSN correcto; errores JS aparecen en Sentry dashboard,Revisión de sentry.client.config.ts,PASSED,tracesSampleRate=0.1 en producción
UX/GUI,UX-01,Diseño split-screen,Desktop,Layout flex-row con texto a la izquierda y retrato a la derecha en >= 1024px,VRT – Playwright,PASSED,
UX/GUI,UX-02,Diseño vertical apilado,Mobile,Layout flex-col; retrato debajo del copy en < 1024px,VRT – Playwright,PASSED,
UX/GUI,UX-03,Fuente tipográfica – Inter Variable,Ambos,Inter Variable cargada desde @fontsource-variable (self-hosted; no Google),Revisión de código,PASSED,Sin peticiones externas a fonts.googleapis.com para Inter
UX/GUI,UX-04,Fuente tipográfica – Playfair Display Variable,Ambos,Playfair Display Variable cargada desde @fontsource-variable (self-hosted),Revisión de código,PASSED,
UX/GUI,UX-05,Material Symbols – carga no bloqueante,Ambos,Iconos cargados con rel=preload + onload (async); no bloquea render,Revisión de código,PASSED,Queda como único recurso bloqueante residual (warn tolerado)
UX/GUI,UX-06,Countdown dinámico,Ambos,Contador regresivo actualiza cada segundo hacia 2026-05-01T09:00-05:00,Manual,PASSED,
UX/GUI,UX-07,Language switcher ES↔EN,Ambos,Bandera clickable en header alterna entre / y /en correctamente,Manual,PASSED,
UX/GUI,UX-08,Glassmorphism form card,Ambos,Tarjeta de formulario con glass-effect visible sobre fondo oscuro,VRT – Playwright,PASSED,
UX/GUI,UX-09,CTA button hover state,Desktop,Botón "¡Avísame!" cambia de #e6b319 a #ffc926 en hover,Manual,PASSED,
UX/GUI,UX-10,Retrato editorial – hover zoom,Desktop,Imagen del retrato hace scale-105 suave en hover del contenedor,Manual,PASSED,
UX/GUI,UX-11,Página 404 on-brand,Ambos,404.astro con "404" en dorado serif + h1 + CTAs a home y portafolio,Manual + LHCI,PASSED,"Bug encontrado 2026-03-26: botón 'Ver Portafolio' apuntaba a /portafolio (404 interno). Corregido a portafolio.monicamontufar.com con target=_blank."
UX/GUI,UX-12,Cookie banner visible,Ambos,Banner de cookies aparece en primera visita con botones Aceptar / Rechazar,Manual,PASSED,
UX/GUI,UX-13,Social icons – hover gold,Desktop,Iconos FB/IG/LI cambian a color primary en hover,Manual,PASSED,
UX/GUI,UX-14,Header sticky con blur,Ambos,Header permanece fijo en scroll con backdrop-blur-md y bg semi-transparente,Manual,PASSED,
Legal,LEGAL-01,Responsable del tratamiento identificado,Ambos,Política de privacidad incluye nombre del titular (Mónica Montúfar Quiñónez) y email de contacto,Revisión de contenido,PASSED,Añadido 2026-03-26
Legal,LEGAL-02,Base legitimadora declarada,Ambos,Política indica que el tratamiento se basa en el consentimiento expreso del usuario,Revisión de contenido,PASSED,
Legal,LEGAL-03,Derechos del usuario completos,Ambos,Política enumera acceso / rectificación / supresión / oposición / portabilidad,Revisión de contenido,PASSED,
Legal,LEGAL-04,Inventario de cookies honesto,Ambos,"Política lista correctamente: Cloudflare Turnstile (seguridad) + Sentry (errores); declara explícitamente que NO hay cookies analíticas ni publicitarias",Revisión de contenido,PASSED,
Legal,LEGAL-05,Link a política desde formulario,Ambos,Label del checkbox de privacidad en ES + EN enlaza a /politica-de-privacidad-y-cookies,Revisión de código,PASSED,
